CRASH_RECORD_ID,RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
8016a9af3b9c965e950932534c65e0412b994476c0a398d7a111c6cdfd576525b30538f1f61bcccd43d0b01adedfe3cb6cd6001e9188e8ea4b37b8bc02aca352,JE422695,,10/26/2021 07:47:00 AM,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,OTHER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,Y,,"OVER $1,500",10/26/2021 08:30:00 AM,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,3535,E,114TH ST,433.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7,3,10,41.6881094044,-87.5375500983,POINT (-87.537550098331 41.688109404432)
3b35c2d5df8bdbda919d0a182f1d4a01d1c7d0c156b557bde111bd0f4fc78c95633d6cebebde55cb5146d2cf08283a3175e512b930241740b106729042611f55,JA517937,,11/19/2017 10:50:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",11/19/2017 02:15:00 PM,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,3958,W,LAWRENCE AVE,1712.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10,1,11,41.9683528111,-87.727969344,POINT (-87.727969343981 41.96835281106)
0f739029b53086839afe1f959c34907face85cc180156078e4d7ecfe4c170ce59d4200aee8f85f2c4f00f32f0f32e4ed22dcbbc1fd7620d061502daf7e4310d0,JC386430,Y,08/10/2019 06:30:00 AM,30,NO CONTROLS,NO CONTROLS,UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",08/10/2019 07:00:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3855,W,59TH ST,822.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6,7,8,41.7858720217,-87.7202294405,POINT (-87.720229440496 41.785872021667)
ebd433dd4d935597c8b958896617c3dee3031030dca380020645d84fb3ce579160536280bbcdcd87b8123fa51e4c805c705a2194737d9eafde3f6a66fcae762c,JE259753,,06/09/2021 03:00:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,$500 OR LESS,06/09/2021 03:30:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,3328,W,OGDEN AVE,1021.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,15,4,6,41.8568105895,-87.7090496039,POINT (-87.709049603866 41.856810589531)
2dce0fb8d8b9234d9d3fc9231061d1950185f3a587d11c8244dc3d17b7ec406c6e0f91fa7f514ac9a4390a7e458aca5e1bbc8cea03af7e8f1ae747194b70dd53,JD137322,,02/02/2020 10:15:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",02/02/2020 12:05:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,5301,S,HARLEM AVE,811.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10,1,2,41.7956880528,-87.8014596705,POINT (-87.801459670523 41.795688052768)
30d91b368e8b52c14fbb331e5530795130e797dbcd316c508846cf4bbdbbbecc21d8c0cfda7770a094107b86af834d6f2829a9d3197f390b0d1fc9de715eedd3,JG344884,,07/17/2023 03:59:00 PM,30,STOP SIGN/FLASHER,MISSING,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",07/17/2023 04:00:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5000,S,PAULINA ST,931.0,,,,,,,3,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,1.0,0.0,15,2,7,41.8030242955,-87.667402099,POINT (-87.667402099011 41.803024295464)
3828bf04d4d81e3cd447cd107191f8f486708aad6e35809b60a49dec4404cc61ca81bfbefbab1e893176272e6120408a337c4e49e776fc91054b41b20b9c76de,JB177259,,03/07/2018 04:00:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,6.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,Y,"$501 - $1,500",03/07/2018 04:20:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,9101,S,STONY ISLAND AVE,413.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16,4,3,41.7295896721,-87.5849004101,POINT (-87.58490041009 41.729589672062)
71dbff05209553ff9b128a50c326b27238cb9d2fdbd043ac37c75dc9119e1ef08701a5d182281418217980ea5df20da268ccd8e86c3ce1a8cd5acbe783a51328,JF422022,,10/04/2022 02:30:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",10/04/2022 06:20:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,300,N,LARAMIE AVE,1523.0,,,,,,,2,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,14,3,10,41.8857142876,-87.7554090777,POINT (-87.755409077735 41.885714287582)
2a81be62d19cb0acd52f526998904d6393dd88f621e3f19b709edf4707d074ca6d6109f483435af749627a4185c44a71648314085a419bad79855e9085abc9ec,JC145065,,02/08/2019 02:50:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",02/08/2019 04:15:00 PM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,9460,S,DR MARTIN LUTHER KING JR DR,633.0,,,,,,,3,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14,6,2,41.721981278,-87.6142925253,POINT (-87.614292525286 41.721981278013)
0ff60f97696650178c4fe95076020e583e719c0449cb5e69a7fd33ea49ce55009f43b8e7522885533887d43b1aba5931938ecd0a8309b8fec7239c2d71a16030,JF438279,,10/17/2022 04:19:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"$501 - $1,500",10/17/2022 05:11:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,3104,N,HARLEM AVE,2511.0,,,,,,,2,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,2.0,0.0,16,2,10,41.9365553327,-87.806845354,POINT (-87.806845354024 41.936555332714)
